TAXON,RdRP_super_group,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,Taxon_set
Astroviridae,Astro-Poty,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Astroviridae_Avastrovirus,Astro-Poty,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Avastrovirus|
Astroviridae_Mamastrovirus,Astro-Poty,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
Potyviridae,Astro-Poty,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Patatavirales,,Potyviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Patatavirales||Potyviridae|||
Astro-Poty,Astro-Poty,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,,,,,,,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes||||||
Permutotetraviridae,Birna-Permutotetra,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,Riboviria|Orthornavirae||||||Permutotetraviridae|||
Birnaviridae,Birna-Permutotetra,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,Riboviria|Orthornavirae||||||Birnaviridae|||
Cystoviridae,Cysto,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|
Flaviviridae,Flavi,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
Orthoflavivirus,Flavi,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,Orthoflavivirus,,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae||Orthoflavivirus|
Hepacivirus,Flavi,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,Hepacivirus,,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae||Hepacivirus|
Jingmenvirus,Flavi,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,Jingmenvirus,,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae||Jingmenvirus|
Pegivirus,Flavi,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,Pegivirus,,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae||Pegivirus|
Pestivirus,Flavi,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,Pestivirus,,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae||Pestivirus|
Alphaflexiviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Alphaflexiviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Alphaflexiviridae|||
Benyviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Benyviridae,,Benyvirus,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Benyviridae||Benyvirus|
Betaflexiviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|||
Bromoviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae|||
Idaeovirus,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Mayoviridae,,Idaeovirus,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Mayoviridae||Idaeovirus|
Closteroviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae|||
Deltaflexiviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Deltaflexiviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Deltaflexiviridae|||
Endornaviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae|||
Gammaflexiviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Gammaflexiviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Gammaflexiviridae|||
Hepe-Virga,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,,,,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes||||||
Hepeviridae,Hepe-Virga,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Hepeviridae,,,,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Hepeviridae|||
