Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
Amphibia_BHNG3698_Fujian_spotted_paddle-tail_newt_astrovirus_7490bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_DFRYG3979V1_Zhejiang_chinese_fire_belly_newt_astrovirus_1_7416bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_DFRYG3998_Zhejiang_chinese_fire_belly_newt_astrovirus_2_5038bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_GDSWC169064_Beihai_tree_frog_astrovirus_5247bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_GDSWC170753_Beihai_tree_frog_astrovirus_6979bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_HJWCGF4813_Hainan_marbled_pigmy_frog_astrovirus_1_6988bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_HKCCC7872_Hainan_black-spectacled_toad_astrovirus_2_7476bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_LPWC187377_Hainan_astro-like_virus_2_5204bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Amphibia_WHHM73969_Wuhan_asiatic_toad_astrovirus_7012bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
APA19801.1_Avian_astrovirus_1471,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Cartilaginous_DTHH2075_Dongtou_red_stingray_astrovirus_7168bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Cartilaginous_NHYJC32427_Nanhai_ghost_shark_astrovirus_1_3337bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Cartilaginous_NHYJC33085_Nanhai_ghost_shark_astrovirus_2_3478bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Cartilaginous_RBCSC17455_Wenling_japanese_topeshark_astrovirus_7099bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Cartilaginous_RGYQSMGReov43317_Wenzhou_pacific_spadenose_shark_astrovirus_2_7089bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
CJLX30757_Changjiang_astro-like_virus,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Jawless_QSMC2427_Dongbei_arctic_lamprey_astrovirus_3_6555bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Jawless_QSMS17426_Dongbei_arctic_lamprey_astrovirus_4_7513bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Jawless_QSMS18873_Dongbei_arctic_lamprey_astrovirus_2_7642bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Lungfish_FZFYG149406_Western_African_lungfish_astro-like_virus_13169bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
QBZ38214.1_European_roller_astrovirus_Coracias_garrulus_401,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
QCO31422.1_Passerine_astrovirus_1,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
