Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
NC_001625_Southern_cowpea_mosaic_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|
NC_001696_Lucerne_transient_streak_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Lucerne transient streak virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Lucerne transient streak virus
NC_014509_Velvet_tobacco_mottle_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Velvet tobacco mottle virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Velvet tobacco mottle virus
NC_011536_Imperata_yellow_mottle_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Imperata yellow mottle virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Imperata yellow mottle virus
NC_011187_Rubus_chlorotic_mottle_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Sowbane mosaic virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Sowbane mosaic virus
NC_002618_Cocksfoot_mottle_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Cocksfoot mottle virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Cocksfoot mottle virus
NC_004346_Subterranean_clover_mottle_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Subterranean clover mottle virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Subterranean clover mottle virus
NC_004553_Turnip_rosette_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Turnip rosette virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Turnip rosette virus
NC_004060_Southern_bean_mosaic_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Southern bean mosaic virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Southern bean mosaic virus
NC_003747_Ryegrass_mottle_virus,Solemoviridae_Sobemovirus,0,0,1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Ryegrass mottle virus,,Luteo-Sobemo,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Sobelivirales||Solemoviridae||Sobemovirus|Ryegrass mottle virus
