Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
BHBJDX18762_Beihai_levi-like_virus_19,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHBJDX37870_Beihai_levi-like_virus_34,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHJJX20688_Beihai_levi-like_virus_20,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHJP61416_Beihai_levi-like_virus_7,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHJP62133_Beihai_levi-like_virus_23,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHJP63773_Beihai_levi-like_virus_16,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHSC163351_Beihai_levi-like_virus_25,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHSC167323_Beihai_levi-like_virus_32,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTH15291_Beihai_levi-like_virus_27,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTH16011_BHJJX24892_Beihai_levi-like_virus_22,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTH16058_Beihai_levi-like_virus_11,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTH16066_Beihai_levi-like_virus_17,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS11091_Beihai_levi-like_virus_24,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS13603_Beihai_levi-like_virus_2,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17154_Beihai_levi-like_virus_1,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17667_Beihai_levi-like_virus_8,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17847_Beihai_levi-like_virus_6,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17923_Beihai_levi-like_virus_10,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17966_Beihai_levi-like_virus_9,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17971_Beihai_levi-like_virus_5,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17989_Beihai_levi-like_virus_3,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
BHTSS17991_Beihai_levi-like_virus_4,Leviviricetes,0,0,0,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,,Narna-Levi,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
