Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
BHTH14652_Mono-Chu_Beihai_barnacle_virus_8,Artoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,Hexartovirus,Hexartovirus cirripedis,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae||Hexartovirus|Hexartovirus cirripedis
BHTSS15727_Mono-Chu_Beihai_rhabdo-like_virus_1,Artoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,Peropuvirus,Peropuvirus beihaiense,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae||Peropuvirus|Peropuvirus beihaiense
BHTSS7258_Mono-Chu_Beihai_rhabdo-like_virus_2,Artoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,Peropuvirus,Peropuvirus lignarii,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae||Peropuvirus|Peropuvirus lignarii
QTM19395_Mono-Chu_Hubei_rhabdo-like_virus_8,Artoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,Peropuvirus,Peropuvirus dentati,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae||Peropuvirus|Peropuvirus dentati
QTM24798_Mono-Chu_Hubei_rhabdo-like_virus_6,Artoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,Peropuvirus,Peropuvirus hubeiense,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae||Peropuvirus|Peropuvirus hubeiense
WHSFII19440_Mono-Chu_Hubei_rhabdo-like_virus_5,Artoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,Peropuvirus,Peropuvirus juli,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae||Peropuvirus|Peropuvirus juli
AVM87541.1_Wuhan_sharpbelly_bornavirus,Bornaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,Cultervirus,Cultervirus hemicultri,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae||Cultervirus|Cultervirus hemicultri
NP_042024_Borna_disease_virus,Bornaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,Orthobornavirus,Orthobornavirus bornaense,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae||Orthobornavirus|Orthobornavirus bornaense
YP_009041461_Canary_bornavirus_3,Bornaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,Orthobornavirus,Orthobornavirus serini,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae||Orthobornavirus|Orthobornavirus serini
YP_009055063.1_Loveridges_garter_snake_virus_1,Bornaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,Orthobornavirus,Orthobornavirus elapsoideae,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae||Orthobornavirus|Orthobornavirus elapsoideae
YP_009237647.1_Aquatic_bird_bornavirus_1,Bornaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,Orthobornavirus,Orthobornavirus avisaquaticae,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae||Orthobornavirus|Orthobornavirus avisaquaticae
YP_009268904_Parrot_bornavirus_7,Bornaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,Orthobornavirus,Orthobornavirus alphapsittaciforme,,Mono-Chu,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae||Orthobornavirus|Orthobornavirus alphapsittaciforme
