Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
ACF33769_Influenza_A_virus_H3N8_bird,Influenzavirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Alphainfluenzavirus,Alphainfluenzavirus influenzae,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Alphainfluenzavirus|Alphainfluenzavirus influenzae
AGS48810_Influenza_D_virus,Influenzavirus,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Gammainfluenzavirus,Gammainfluenzavirus influenzae,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Gammainfluenzavirus|Gammainfluenzavirus influenzae
Amphibia_WHHM46916_Wuhan_asiatic_toad_influenza_virus_PB1_2337bp,Influenzavirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae|||
Jawless_DHMMS23081_Wenling_hagfish_influenza_virus_PB1_2230bp,Influenzavirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae|||
NP_056657_Influenza_B_virus,Influenzavirus,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Betainfluenzavirus,Betainfluenzavirus influenzae,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Betainfluenzavirus|Betainfluenzavirus influenzae
Rayfin_WHQSR4065_Wuhan_spiny_eel_influenza_virus_PB1_2332bp,Influenzavirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae|||
YP_089653_Influenza_C_virus,Influenzavirus,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Deltainfluenzavirus,Deltainfluenzavirus influenzae,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Deltainfluenzavirus|Deltainfluenzavirus influenzae
YP_308847.1_Influenza_A_virus_A_New_York_392_2004H3N2,Influenzavirus,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Alphainfluenzavirus,Alphainfluenzavirus influenzae,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Alphainfluenzavirus|Alphainfluenzavirus influenzae
ADR77506_Infectious_salmon_anemia_virus,Isavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Isavirus,Isavirus salaris,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Isavirus|Isavirus salaris
BHHQ71863_Beihai_orthomyxo-like_virus_2,Orthomyxoviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae|||
