Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
BHXun32263_Beihai_Nido-like_virus_2,Euroniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,Ceronivirinae,Charybnivirus,Charybnivirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|Variarterivirinae|Gammaarterivirus|Gammaarterivirus lacdeh
WLJQ99370_Wenling_virus_1,Euroniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,Ceronivirinae,Charybnivirus,Decronivirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|Variarterivirinae|Betaarterivirus|Betaarterivirus suid 2
BHJJX25971_Beihai_hermit_crab_virus_4,Euroniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,Ceronivirinae,Paguronivirus,Paguronivirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|Torovirinae|Torovirus|Bovine torovirus
NC_002532_Equine_arteritis_virus,Arteriviridae,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,Equarterivirinae,Alphaarterivirus,Alphaarterivirus equid arteritis virus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|Torovirinae|Torovirus|Porcine torovirus
NC_026439_African_pouched_rat_arterivirus,Arteriviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,Heroarterivirinae,Lambdaarterivirus,Lambdaarterivirus afriporav,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|Simarterivirinae|Deltaarterivirus|Deltaarterivirus hemfev
NC_015874_Nam_Dinh_virus,Mesoniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|Simarterivirinae|Iotaarterivirus|Iotaarterivirus debrazmo
NC_020900_Meno_virus_strain,Mesoniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 9,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|Serpentovirinae|Pregotovirus|Ball python nidovirus 1
NC_020901_Nse_virus_strain,Mesoniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 8,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|Serpentovirinae|Vebetovirus|Vebetovirus paba
YP_009551696.1_Yichang_virus_5365,Mesoniviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 11,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|Serpentovirinae|Sectovirus|Sectovirus 1
YP_009551452.1_PSCNV_Planarian_secretory_cell_nidovirus_PSCNV_13556,Mononiviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Monidovirineae,Mononiviridae,Mononivirinae,Alphamononivirus,Planidovirus 1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|Serpentovirinae|Infratovirus|Infratovirus 1
