Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
NP_056820_Norwalk_virus,Caliciviridae,1,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Norovirus,Norwalk virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Norovirus|Norwalk virus
NP_062875_Rabbit_hemorrhagic_disease_virus,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Lagovirus,Rabbit hemorrhagic disease virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Lagovirus|Rabbit hemorrhagic disease virus
NP_663315_Calicivirus_strain_NB,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Nebovirus,Newbury 1 virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Nebovirus|Newbury 1 virus
WHBL73048_Hubei_picorna-like_virus_6,Caliciviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae|||
YP_002905325_Calicivirus_pig-AB90-CAN,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Valovirus,Saint Valerien virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Valovirus|Saint Valerien virus
YP_009026987_Atlantic_salmon_calicivirus,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Salovirus,Nordland virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Salovirus|Nordland virus
YP_009028574_Goose_calicivirus,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae|||
YP_022762_Sapovirus_Mc10,Caliciviridae,1,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Sapovirus,Sapporo virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Sapovirus|Sapporo virus
YP_720001_Murine_norovirus_1,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Norovirus,Norwalk virus,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Norovirus|Norwalk virus
YP_873922_Rabbit_vesivirus,Caliciviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,Vesivirus,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae||Vesivirus|
AIY53985_Nilaparvata_lugens_C_virus,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHBei73249_Beihai_picorna-like_virus_78,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHBei75652_Beihai_picorna-like_virus_77,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHBJDX16027_Beihai_picorna-like_virus_88,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHBJDX17672_Beihai_shrimp_virus_1,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHBJDX18546_Beihai_picorna-like_virus_93,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHBJDX18844_Beihai_picorna-like_virus_79,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHHK126587_Beihai_picorna-like_virus_72,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHHK129719_Beihai_picorna-like_virus_85,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHHK130969_Beihai_picorna-like_virus_74,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHJJX25930_Beihai_picorna-like_virus_91,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHJJX25952_Beihai_picorna-like_virus_70,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHJJX25960_Beihai_picorna-like_virus_73,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
BHJP42036_Beihai_echinoderm_virus_1,Dicistroviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,,Picorna-Calici,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
