Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
mono-chu-like_YP_009337847.1_Hubei_qinvirus-like_virus_1,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus hubeiense,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|Yingvirus hubeiense
mono-chu-like_YP_009337852.1_Shahe_qinvirus-like_virus_1,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus shaheense,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|Yingvirus shaheense
other-negative-like_YP_009337849.1_Sanxia_Qinvirus-like_virus_1,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus sanxiaense,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|Yingvirus sanxiaense
other-negative-like_YP_009337864.1_Wenzhou_qinvirus-like_virus_2,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus charybdis,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|Yingvirus charybdis
other-negative-like_YP_009337866.1_Wenzhou_qinvirus-like_virus_1,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus wenzhouense,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|Yingvirus wenzhouense
other-negative-like_qinvirus_arthropodmix117161_Hubei_qinvirus-like_virus_2_len3627,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|
other-negative-like_qinvirus_SCJXSX38901_Beihai_sesarmid_crab_virus_4_RdRp_len5639,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|
other-negative-like_qinvirus_SCM49583_Hubei_Qinvirus-like_virus_1_RdRp_len5746,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|
other-negative-like_qinvirus_SHWC0209c11359_Shahe_qinvirus-like_virus_1_RdRp_len5924,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|
other-negative-like_qinvirus_WHCCII13252_Wuhan_insect_virus_15_RdRp_len5940,Qinvirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,,,Qinvirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|
