Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
NP_938061_Aquareovirus_C,Aquareovirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Aquareovirus,Aquareovirus C,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Aquareovirus|Aquareovirus C
YP_001837095_American_grass_carp_reovirus,Aquareovirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Aquareovirus,Aquareovirus G,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Aquareovirus|Aquareovirus G
YP_398630_Aquareovirus_A,Aquareovirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Aquareovirus,Aquareovirus A,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Aquareovirus|Aquareovirus A
NP_620280_Eyach_virus,Coltivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Coltivirus,Eyach coltivirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Coltivirus|Eyach coltivirus
NP_690891_Colorado_tick_fever_virus,Coltivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Coltivirus,Colorado tick fever coltivirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Coltivirus|Colorado tick fever coltivirus
AHJ14783_Orgyia_pseudotsugata_cypovirus_5,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
ALL27236_Bombyx_mori_cypovirus_1,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
LCM141729_Hubei_lepidoptera_virus_3_RdRp,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
mosHB236127_Hubei_reo-like_virus_8,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
NP_149135_Cypovirus_14,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,Cypovirus 14,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|Cypovirus 14
NP_149147_Cypovirus_1,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,Cypovirus 1,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|Cypovirus 1
QTM27922_Hubei_reo-like_virus_9,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
YP_001883321_Heliothis_armigera_cypovirus_5,Cypovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
YP_009104379_Fako_virus,Dinovernavirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Dinovernavirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Dinovernavirus|
YP_443936_Aedes_pseudoscutellaris_reovirus,Dinovernavirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Dinovernavirus,Aedes pseudoscutellaris reovirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Dinovernavirus|Aedes pseudoscutellaris reovirus
NP_619776_Nilaparvata_lugens_reovirus,Fijivirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Fijivirus,Nilaparvata lugens reovirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Fijivirus|Nilaparvata lugens reovirus
NP_620452_Rice_black_streaked_dwarf_virus,Fijivirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Fijivirus,Rice black streaked dwarf virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Fijivirus|Rice black streaked dwarf virus
YP_004021936_Southern_rice_black-streaked_dwarf_virus,Fijivirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Fijivirus,Southern rice black-streaked dwarf virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Fijivirus|Southern rice black-streaked dwarf virus
YP_249762_Fiji_disease_virus,Fijivirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Fijivirus,Fiji disease virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Fijivirus|Fiji disease virus
YP_956848_Mal_de_Rio_Cuarto_virus,Fijivirus,0,0,1,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Fijivirus,Mal de Rio Cuarto virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Fijivirus|Mal de Rio Cuarto virus
YP_654545_Micromonas_pusilla_reovirus,Mimoreovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Mimoreovirus,Micromonas pusilla reovirus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Mimoreovirus|Micromonas pusilla reovirus
YP_001936004_Mycoreovirus_1,Mycoreovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Mycoreovirus,Mycoreovirus 1,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Mycoreovirus|Mycoreovirus 1
YP_392478_Mycoreovirus_3,Mycoreovirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Mycoreovirus,Mycoreovirus 3,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Mycoreovirus|Mycoreovirus 3
ADZ96219.1_Tribec_virus__1284,Orbivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
QIQ51173.1_Letea_virus_Natrix_natrix_1284,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
WAK76793.1_Reoviridae_sp._Haemaphysalis_hystricis_1340,Orbivirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
WCJ14480.1_Kaptombes_virus_Bos_taurus_1321,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
YP_002925132_Stretch_Lagoon_orbivirus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
YP_003240108_Epizootic_hemorrhagic_disease_virus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Epizootic hemorrhagic disease virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Epizootic hemorrhagic disease virus
YP_003896058_Great_Island_virus,Orbivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Great Island virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Great Island virus
YP_008658416_Wallal_virus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Wallal virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Wallal virus
YP_008719912_Mobuck_virus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
YP_008719926_Changuinola_virus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Changuinola virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Changuinola virus
YP_009507680.1_Corriparta_virus,Orbivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Corriparta virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Corriparta virus
YP_009507707.1_Lebombo_virus,Orbivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Lebombo virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Lebombo virus
YP_009507718.1_Orungo_virus,Orbivirus,1,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Orungo virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Orungo virus
YP_052935_Palyam_virus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,Palyam virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|Palyam virus
YP_052942_St_Croix_River_virus,Orbivirus,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,St Croix River virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|St Croix River virus
YP_052966_African_horse_sickness_virus,Orbivirus,0,1,0,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,African horse sickness virus,,Reo,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|African horse sickness virus
