Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
arthropodmix12988_Hubei_noda-like_virus_10,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
beimix38484_Wenzhou_bivalvia_virus_3,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHBJDX12560_Beihai_noda-like_virus_24,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHBJDX17825_Beihai_noda-like_virus_28,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHBJDX18793_Beihai_shrimp_virus_6_RdRp,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHHK108774_Beihai_noda-like_virus_27,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHHK113658_Beihai_noda-like_virus_23,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHHK130223_Beihai_noda-like_virus_14,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHJJX49550_Beihai_noda-like_virus_11_RdRp,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
BHJJX6144_Beihai_noda-like_virus_30,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
