Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
mosHB233224_Hubei_chryso-like_virus_1,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,,,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae|||
mosZJ34956_Shuangao_chryso-like_virus_1,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,,,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae|||
SCM47694_Hubei_chryso-like_virus_2,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,,,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae|||
WHZM9752_Wuhan_insect_virus_30_RdRp,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,,,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae|||
WHZM9836_Wuhan_insect_virus_29,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,,,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae|||
YP_001531163_Amasya_cherry_disease_associated_chrysovirus,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,Alphachrysovirus,Alphachrysovirus cerasi,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae||Alphachrysovirus|Alphachrysovirus cerasi
YP_003858286_Magnaporthe_oryzae_chrysovirus_1,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,Betachrysovirus,Betachrysovirus magnaporthis,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae||Betachrysovirus|Betachrysovirus magnaporthis
YP_008914864_Magnaporthe_oryzae_chrysovirus_3,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,Betachrysovirus,Betachrysovirus magnaporthis,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae||Betachrysovirus|Betachrysovirus magnaporthis
YP_009665200.1_Fusarium_oxysporum_chrysovirus_1_858,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,Alphachrysovirus,Alphachrysovirus fusarii,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae||Alphachrysovirus|Alphachrysovirus fusarii
YP_010088084.1_Chrysothrix_chrysovirus_1_1089,Chrysoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Chrysoviridae,,Alphachrysovirus,Alphachrysovirus chrysothricis,,Toti-Chryso,Riboviria|Orthornavirae|Duplornaviricota||Chrymotiviricetes|Ghabrivirales||Chrysoviridae||Alphachrysovirus|Alphachrysovirus chrysothricis
