Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
arthropodmix12819_Hubei_partiti-like_virus_2,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BAU79482_Diatom_colony_associated_dsRNA_virus_1,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHHK112924_Beihai_partiti-like_virus_3,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHJJX16459_Beihai_picobirna-like_virus_6,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHJJX24179_Beihai_picobirna-like_virus_4,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHJJX25000_Beihai_picobirna-like_virus_5,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHJJX25356_Beihai_picobirna-like_virus_1,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHJJX66797_Beihai_picobirna-like_virus_2,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHNXC57916_BHZC50960_BHJJX15399_BHBJDX17263_etc_Beihai_picobirna-like_virus_7,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHNXC71065_BHZC29883_Beihai_picobirna-like_virus_8,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHTH13093_Beihai_picobirna-like_virus_3,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHTH16091_Beihai_barnacle_virus_12,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHTH16173_Beihai_barnacle_virus_13,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHTH35712_Beihai_barnacle_virus_14,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHTSS8738_Beihai_partiti-like_virus_1,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHWZXX14306_BHBJDX17847_Beihai_partiti-like_virus_11,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHXG11739_Beihai_partiti-like_virus_9,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHZC32520_Beihai_picobirna-like_virus_9,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHZC36678_Beihai_picobirna-like_virus_12,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHZC36972_Beihai_picobirna-like_virus_10,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHZY110439_Beihai_partiti-like_virus_6,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHZY58752_Beihai_picobirna-like_virus_13,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BHZY60797_Beihai_partiti-like_virus_2,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
BWBFG40030_Beihai_picobirna-like_virus_11,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
CC64001_Wuhan_insect_virus_24,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
CC64706_Wuhan_insect_virus_25,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
CJLX57436_Changjiang_partiti-like_virus_1,Partiti-Picobirna,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,Partiti-Picobirna,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
