RdRp_sseqid,super_group,Accession_id
astro-poty-like_UES73256_Malva_vein_clearing_virus_Malva_3508,Astro-Poty,UES73256
astro-poty-like_WCR66960_Polygonatum_yellow_narrow_leaf_virus_Polygonatum_kingianum_3212,Astro-Poty,WCR66960
astro-poty-like_WCR30999_Lamprocapnos_virus_A_Lamprocapnos_spectabilis_3120,Astro-Poty,WCR30999
astro-poty-like_WCC59460_Narcissus_latent_virus_Narcissus_pseudonarcissus_2624,Astro-Poty,WCC59460
astro-poty-like_WBW87812_Barleria_repens_mottle_virus_Barleria_repens_3105,Astro-Poty,WBW87812
astro-poty-like_WBQ86004_Polygonatum_mosaic-associated_virus_1_Polygonatum_cyrtonema_3109,Astro-Poty,WBQ86004
astro-poty-like_WBO26432_Amazon_lily_mosaic_virus_Hippeastrum_hybrid_cultivar_3077,Astro-Poty,WBO26432
astro-poty-like_WAJ59633_Paris_potyvirus_4_Paris_polyphylla_var_yunnanensis_3063,Astro-Poty,WAJ59633
astro-poty-like_UIW24839_Goose_astrovirus_2_Anatidae_1598,Astro-Poty,UIW24839
astro-poty-like_UZN72330_Tuberose_mild_mosaic_virus_Agave_amica_3070,Astro-Poty,UZN72330
astro-poty-like_UZH94747_Ranunculus_mild_mosaic_virus_Ranunculus_3074,Astro-Poty,UZH94747
astro-poty-like_UZH25307_Mamastrovirus_3_Sus_scrofa_1359,Astro-Poty,UZH25307
astro-poty-like_UZH25322_Mamastrovirus_3_Sus_scrofa_1313,Astro-Poty,UZH25322
astro-poty-like_UYO37323_Paris_potyvirus_3_Paris_polyphylla_var_yunnanensis_3098,Astro-Poty,UYO37323
astro-poty-like_UXG06293_Ugandan_cassava_brown_streak_virus_Manihot_esculenta_2905,Astro-Poty,UXG06293
astro-poty-like_UWK09061_Gerbil_astrovirus_Meriones_unguiculatus_502,Astro-Poty,UWK09061
astro-poty-like_UTQ50667_Plantago_potyvirus_1_Plantago_lanceolata_3076,Astro-Poty,UTQ50667
astro-poty-like_UTQ50668_Mentha_macluravirus_1_Mentha_x_piperita_2630,Astro-Poty,UTQ50668
astro-poty-like_UTQ50671_Rumex_potyvirus_1_Rumex_3435,Astro-Poty,UTQ50671
astro-poty-like_UTE10634_Thevetia_ringspot_virus_Thevetia_ahouai_3182,Astro-Poty,UTE10634
astro-poty-like_URY50832_Miscanthus_sinensis_mosaic_virus_Miscanthus_sinensis_3071,Astro-Poty,URY50832
astro-poty-like_URC17548_Zucchini_yellow_fleck_virus_Cucurbita_3338,Astro-Poty,URC17548
astro-poty-like_QUP51979_Passiflora_chlorosis_virus_Passiflora_edulis_3084,Astro-Poty,QUP51979
astro-poty-like_BDC33800_Vallota_mosaic_virus_3033,Astro-Poty,BDC33800
astro-poty-like_UMO75824_Henan_mamastrovirus_3_1364,Astro-Poty,UMO75824
astro-poty-like_UMO75842_Sichuan_mamastrovirus_12_1327,Astro-Poty,UMO75842
astro-poty-like_ULF47959_Squirrel_astrovirus_2_Sciurus_vulgaris_1440,Astro-Poty,ULF47959
astro-poty-like_DAZ85787_Large_cardamom_chirke_virus_Amomum_subulatum_2632,Astro-Poty,DAZ85787
astro-poty-like_UJH40707_Passiflora_foetida_virus_Y_Passiflora_edulis_3084,Astro-Poty,UJH40707
astro-poty-like_UIX56551_Goose_astrovirus_1_Anatidae_1605,Astro-Poty,UIX56551
astro-poty-like_UIW31246_Areca_palm_necrotic_ringspot_virus_Areca_catechu_3019,Astro-Poty,UIW31246
astro-poty-like_QVN46485_Polygonatum_kingianum_virus_5_Polygonatum_kingianum_3093,Astro-Poty,QVN46485
astro-poty-like_APA19795_Avian_astrovirus_Corvus_splendens_1396,Astro-Poty,APA19795
astro-poty-like_APA19801_Avian_astrovirus_1471,Astro-Poty,APA19801
astro-poty-like_APA19804_Avian_astrovirus_Spilopelia_chinensis_1512,Astro-Poty,APA19804
astro-poty-like_QZU26826_Rice_chlorotic_stripe_virus_Oryza_sativa_3069,Astro-Poty,QZU26826
astro-poty-like_QVU24965_Alstroemeria_mosaic_virus_Alstroemeria_pulchella_3061,Astro-Poty,QVU24965
astro-poty-like_QZH54995_Scorzonera_virus_A_Takhtajaniantha_austriaca_3168,Astro-Poty,QZH54995
astro-poty-like_QZB58893_Chicken_astrovirus_Gallus_gallus_519,Astro-Poty,QZB58893
astro-poty-like_QXU65887_Striga-associated_poty-like_virus_1_Striga_hermonthica_2462,Astro-Poty,QXU65887
astro-poty-like_QXU69567_Iris_potyvirus_A_Lilium_3063,Astro-Poty,QXU69567
astro-poty-like_BCS79970_Anemone_mosaic_virus_Anemone_blanda_3088,Astro-Poty,BCS79970
astro-poty-like_QQJ42399_Bat_astrovirus_Myotis_daubentonii_1372,Astro-Poty,QQJ42399
astro-poty-like_QVX37075_Pennisetum_alopecuroides_mosaic_potyvirus_Cenchrus_compressus_3132,Astro-Poty,QVX37075
astro-poty-like_QVX19873_Spartina_mottle_virus_Cynodon_dactylon_x_Cynodon_transvaalensis_3029,Astro-Poty,QVX19873
astro-poty-like_QTP76096_Water_buffalo_astrovirus_Bubalus_bubalis_1307,Astro-Poty,QTP76096
astro-poty-like_QTP76099_Water_buffalo_astrovirus_Bubalus_bubalis_1355,Astro-Poty,QTP76099
astro-poty-like_QTG10435_Marigold_mosaic_virus_Calendula_3196,Astro-Poty,QTG10435
astro-poty-like_QTE76055_Bat_astrovirus_Desmodus_rotundus_493,Astro-Poty,QTE76055
astro-poty-like_BCR39164_Mirabilis_crinkle_mosaic_virus_Phytolacca_americana_3080,Astro-Poty,BCR39164
astro-poty-like_QRG35363_Ashitaba_mosaic_virus_Angelica_keiskei_3133,Astro-Poty,QRG35363
astro-poty-like_QIJ96719_Polygonatum_kingianum_virus_4_Polygonatum_kingianum_3084,Astro-Poty,QIJ96719
astro-poty-like_QIJ96720_Polygonatum_kingianum_virus_2_Polygonatum_kingianum_3074,Astro-Poty,QIJ96720
astro-poty-like_QIJ96721_Polygonatum_kingianum_virus_1_Polygonatum_kingianum_3037,Astro-Poty,QIJ96721
astro-poty-like_BCJ04104_Pleioblastus_mosaic_virus_Bambusoideae_3083,Astro-Poty,BCJ04104
astro-poty-like_QPJ58777_Passionfruit_Vietnam_virus_Passiflora_3209,Astro-Poty,QPJ58777
astro-poty-like_QPI695282_Feline_astrovirus_3_Felis_catus_519,Astro-Poty,QPI695282
astro-poty-like_QOD42425_Nerine_yellow_stripe_virus_Nerine_bowdenii_3294,Astro-Poty,QOD42425
astro-poty-like_QED42798_Asclepias_potyvirus_A_Asclepias_syriaca_3169,Astro-Poty,QED42798
astro-poty-like_QMV80878_Arachis_virus_Y_2947,Astro-Poty,QMV80878
astro-poty-like_QMP81800_Grapevine-associated_poty-like_virus_1_Vitis_vinifera_3568,Astro-Poty,QMP81800
astro-poty-like_QLH94015_Achyranthes_virus_A_Achyranthes_bidentata_3103,Astro-Poty,QLH94015
astro-poty-like_QLC36605_Stylosanthes_mosaic-associated_virus_1_Stylosanthes_guianensis_2960,Astro-Poty,QLC36605
astro-poty-like_QLC36607_Stylosanthes_mosaic-associated_virus_2_Stylosanthes_guianensis_2958,Astro-Poty,QLC36607
astro-poty-like_QLC36609_Stylosanthes_mosaic-associated_virus_3_Stylosanthes_guianensis_3106,Astro-Poty,QLC36609
astro-poty-like_BCG55390_Eggplant_virus_A_Solanum_melongena_3023,Astro-Poty,BCG55390
astro-poty-like_QED45172_Onion_yellow_dwarf_virus_Allium_sativum_3392,Astro-Poty,QED45172
astro-poty-like_QII88294_White-tailed_deer_astrovirus_Odocoileus_virginianus_1305,Astro-Poty,QII88294
astro-poty-like_QCG75828_Sweet_potato_virus_E_Ipomoea_batatas_3519,Astro-Poty,QCG75828
astro-poty-like_QHO60634_Amaranthus_leaf_mottle_virus_Amaranthus_3075,Astro-Poty,QHO60634
astro-poty-like_QHB15167_Potyvirus_sp_Spermatophyta_3038,Astro-Poty,QHB15167
astro-poty-like_QHB15168_Potyvirus_sp_Spermatophyta_3181,Astro-Poty,QHB15168
astro-poty-like_AZR39335_Shallot_mild_yellow_stripe_virus_Allium_cepa_var_aggregatum_3210,Astro-Poty,AZR39335
astro-poty-like_AVV48515_Ornithogalum_virus_3_Eucomis_3055,Astro-Poty,AVV48515
astro-poty-like_QGV12925_Crow-dipper_mosaic_virus_Pinellia_ternata_2696,Astro-Poty,QGV12925
astro-poty-like_BBP49732_Carrot_virus_Y_Daucus_carota_3074,Astro-Poty,BBP49732
astro-poty-like_QDP38693_Caprine_astrovirus_G3_Capra_hircus_1304,Astro-Poty,QDP38693
astro-poty-like_QDP38699_Ovine_astrovirus_S5_Ovis_aries_1309,Astro-Poty,QDP38699
astro-poty-like_AWA45285_Thladiantha_dubia_mosaic_virus_Thladiantha_dubia_3259,Astro-Poty,AWA45285
astro-poty-like_QBZ38214_European_roller_astrovirus_Coracias_garrulus_401,Astro-Poty,QBZ38214
astro-poty-like_AYE54789_Soybean_yellow_shoot_virus_Glycine_max_2905,Astro-Poty,AYE54789
