Cluster_sseqid,ICTV_Realm,ICTV_Kingdom,ICTV_Phylum,ICTV_Subphylum,ICTV_Class,ICTV_Order,ICTV_Suborder,ICTV_Family,ICTV_Subfamily,ICTV_Genus,ICTV_Species,RdRP_id,Taxonid,NR_id,identity,NR_kindom,NR_phylum,NR_class,NR_order,NR_family,NR_genus,NR_species
Amphibia_BHNG3698_Fujian_spotted_paddle-tail_newt_astrovirus_7490bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_BHNG3698_Fujian_spotted_paddle-tail_newt_astrovirus_7490bp,2116131,AVM87168.1,99.624,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Fujian spotted paddle-tail newt astrovirus
Amphibia_DFRYG3979V1_Zhejiang_chinese_fire_belly_newt_astrovirus_1_7416bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_DFRYG3979V1_Zhejiang_chinese_fire_belly_newt_astrovirus_1_7416bp,2116141,AVM87170.1,99.849,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Zhejiang chinese fire belly newt astrovirus 1
Amphibia_DFRYG3998_Zhejiang_chinese_fire_belly_newt_astrovirus_2_5038bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_DFRYG3998_Zhejiang_chinese_fire_belly_newt_astrovirus_2_5038bp,2116142,AVM87513.1,93.613,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Zhejiang chinese fire belly newt astrovirus 2
Amphibia_GDSWC169064_Beihai_tree_frog_astrovirus_5247bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_GDSWC169064_Beihai_tree_frog_astrovirus_5247bp,2116129,AVM87530.1,99.602,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Beihai tree frog astrovirus
Amphibia_GDSWC170753_Beihai_tree_frog_astrovirus_6979bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_GDSWC170753_Beihai_tree_frog_astrovirus_6979bp,2116129,AVM87188.1,99.174,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Beihai tree frog astrovirus
Amphibia_HJWCGF4813_Hainan_marbled_pigmy_frog_astrovirus_1_6988bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_HJWCGF4813_Hainan_marbled_pigmy_frog_astrovirus_1_6988bp,2116327,AVM87162.1,99.242,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Hainan marbled pigmy frog astrovirus 1
Amphibia_HKCCC7872_Hainan_black-spectacled_toad_astrovirus_2_7476bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_HKCCC7872_Hainan_black-spectacled_toad_astrovirus_2_7476bp,2116132,AVM87164.1,99.804,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Hainan black-spectacled toad astrovirus 2
Amphibia_LPWC187377_Hainan_astro-like_virus_2_5204bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_LPWC187377_Hainan_astro-like_virus_2_5204bp,2116150,AVM87475.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Hainan astro-like virus 2
Amphibia_WHHM73969_Wuhan_asiatic_toad_astrovirus_7012bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Amphibia_WHHM73969_Wuhan_asiatic_toad_astrovirus_7012bp,2116422,AVM87160.1,99.804,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wuhan asiatic toad astrovirus
APA19801.1_Avian_astrovirus_1471,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,APA19801.1_Avian_astrovirus_1471,1914440,APA19801.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Avian astrovirus
Cartilaginous_DTHH2075_Dongtou_red_stingray_astrovirus_7168bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Cartilaginous_DTHH2075_Dongtou_red_stingray_astrovirus_7168bp,2116414,AVM87143.1,99.818,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Dongtou red stingray astrovirus
Cartilaginous_NHYJC32427_Nanhai_ghost_shark_astrovirus_1_3337bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Cartilaginous_NHYJC32427_Nanhai_ghost_shark_astrovirus_1_3337bp,2116331,AVM87532.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Nanhai ghost shark astrovirus 1
Cartilaginous_NHYJC33085_Nanhai_ghost_shark_astrovirus_2_3478bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Cartilaginous_NHYJC33085_Nanhai_ghost_shark_astrovirus_2_3478bp,2116332,AVM87534.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Nanhai ghost shark astrovirus 2
Cartilaginous_RBCSC17455_Wenling_japanese_topeshark_astrovirus_7099bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Cartilaginous_RBCSC17455_Wenling_japanese_topeshark_astrovirus_7099bp,2116151,AVM87192.1,99.818,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling japanese topeshark astrovirus
Cartilaginous_RGYQSMGReov43317_Wenzhou_pacific_spadenose_shark_astrovirus_2_7089bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Cartilaginous_RGYQSMGReov43317_Wenzhou_pacific_spadenose_shark_astrovirus_2_7089bp,2116146,AVM87494.1,99.622,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenzhou pacific spadenose shark astrovirus 2
