Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
na-daxi-like_QFR59038.1_Jiangan_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59040.1_Qiaokou_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59042.1_Wuchang_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59043.1_Qingshan_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59045.1_Hongshan_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59049.1_Daxi_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59051.1_Dongxihu_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59055.1_Zhuyu_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59056.1_Xiangtouao_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59057.1_Zhupengkeng_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59058.1_Xuejiaotou_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59059.1_Zhongzhu_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59060.1_Laitoushanzui_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like-quenyaviruses_QFR59041.1_Nai_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like-quenyaviruses_QFR59054.1_Kwi_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like_QFR59048.1_Ruian_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
na-daxi-like-quenyaviruses_QIQ61201.1_Sina_virus,na-daxi-like,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,na-daxi,Riboviria|Orthornavirae|||||||||
