Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
positive-zhaovirus-like_YP_009337406.1_Beihai_zhaovirus-like_virus_5,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337414.1_Beihai_zhaovirus-like_virus_2,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337419.1_Beihai_zhaovirus-like_virus_1,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337427.1_Beihai_zhaovirus-like_virus_3,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337445.1_Beihai_zhaovirus-like_virus_4,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337629.1_Changjiang_zhaovirus-like_virus_1,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337645.1_Hubei_zhaovirus-like_virus_1,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337663.1_Hubei_zhaovirus-like_virus_2,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
positive-zhaovirus-like_YP_009337670.1_Wenling_zhaovirus-like_virus_1,Zhaovirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Zhaovirus,Riboviria|Orthornavirae||||||||
