Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
BHTH24432_flaviviridae_18719_5809aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
Eddie20542_8572aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
fly11645_flaviviridae_16506_5175aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
insect97238_flaviviridae_18554_5901aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
KF726084_Soybean_cyst_nematode_virus_5_strain_ScV5_5917aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
NC_020252_Gentian_Kobu-sho-associated_virus_7425aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
QBP37018.1_Lampyris_noctiluca_flavivirus_1_Lampyris_noctiluca_6152,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
spider130389_flaviviridae_Length_20761_6817aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
spider134009_flaviviridae_Length_20433_6649aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
spider134014_flaviviridae_6365aa,Flaviviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Flasuviricetes,Amarillovirales,,Flaviviridae,,,,,Flavi,Riboviria|Orthornavirae|Kitrinoviricota||Flasuviricetes|Amarillovirales||Flaviviridae|||
