Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
Tymo_NP_148778_Cactus_virus_X,Alphaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Alphaflexiviridae,,Potexvirus,Cactus virus X,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Alphaflexiviridae||Potexvirus|Cactus virus X
Tymo_NP_569126_Garlic_virus_A,Alphaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Alphaflexiviridae,,Allexivirus,Garlic virus A,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Alphaflexiviridae||Allexivirus|Garlic virus A
Tymo_YP_263303_Lily_virus_X,Alphaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Alphaflexiviridae,,Potexvirus,Lily virus X,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Alphaflexiviridae||Potexvirus|Lily virus X
Tymo_YP_325662_Sclerotinia_sclerotiorum_debilitation-associated_RNA_virus,Alphaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Alphaflexiviridae,,Sclerodarnavirus,Sclerotinia sclerotiorum debilitation-associated RNA virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Alphaflexiviridae||Sclerodarnavirus|Sclerotinia sclerotiorum debilitation-associated RNA virus
WHCC96629_Hubei_alphaflexi-like_virus,Alphaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Alphaflexiviridae,,Potexvirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Alphaflexiviridae||Potexvirus|
alphatetra_NP_049235_Helicoverpa_armigera_stunt_virus,Alphatetraviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Alphatetraviridae,,Omegatetravirus,Helicoverpa armigera stunt virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Alphatetraviridae||Omegatetravirus|Helicoverpa armigera stunt virus
alphatetra_YP_025094_Dendrolimus_punctatus_tetravirus,Alphatetraviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Alphatetraviridae,,Omegatetravirus,Dendrolimus punctatus virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Alphatetraviridae||Omegatetravirus|Dendrolimus punctatus virus
Beny_NP_612601_Beet_soil-borne_mosaic_virus,Benyviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Benyviridae,,Benyvirus,Beet soil-borne mosaic virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Benyviridae||Benyvirus|Beet soil-borne mosaic virus
Beny_YP_008219063_Burdock_mottle_virus,Benyviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Benyviridae,,Benyvirus,Burdock mottle virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Benyviridae||Benyvirus|Burdock mottle virus
SCM50761_Hubei_Beny-like_virus_1,Benyviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Benyviridae,,Benyvirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Benyviridae||Benyvirus|
UHK03121.1_Sanya_benyvirus_1_1405,Benyviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Hepelivirales,,Benyviridae,,Benyvirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Hepelivirales||Benyviridae||Benyvirus|
BAA03339.1_Potato_virus_M_1968,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|
DAC85614.1_Date_palm-associated_virus_A_Phoenix_dactylifera_1837,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,,,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|||
QBS17025.1_Zostera_virus_T_Zostera_muelleri_1816,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Tepovirus,Tepovirus ZoVT,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Tepovirus|Tepovirus ZoVT
QGN03513.1_Cole_latent_virus_Brassica_oleracea_1982,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|
QGR26011.1_Rubber_tree_capillovirus_1_Hevea_brasiliensis_2215,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Capillovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Capillovirus|
QLI58025.1_Rubus_virus_1_Rubus_idaeus_2145,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,,,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|||
QOQ52500.1_Citrus_yellow_spot_virus_Citrus_2016,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,,,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|||
QPI34838.1_Camellia_ringspot_associated_virus_4_Camellia_japonica_2075,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,,,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|||
QVE55509.1_Pomes_virus_Greece_Pyrus_communis_2031,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,,,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|||
QYF50259.1_Hainan_betaflexivirus_1988,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|
QYF50271.1_Zhejiang_betaflexivirus_2_1860,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|
Tymo_NP_062428_Cherry_mottle_leaf_virus,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Trichovirus,Cherry mottle leaf virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Trichovirus|Cherry mottle leaf virus
Tymo_NP_620106_Cherry_virus_A,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Capillovirus,Cherry virus A,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Capillovirus|Cherry virus A
Tymo_NP_624333_Citrus_leaf_blotch_virus,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Citrivirus,Citrus leaf blotch virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Citrivirus|Citrus leaf blotch virus
Tymo_YP_001430021_Coleus_vein_necrosis_virus,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,Coleus vein necrosis virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|Coleus vein necrosis virus
Tymo_YP_002019748_Potato_virus_T,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Tepovirus,Potato virus T,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Tepovirus|Potato virus T
Tymo_YP_006590065_Grapevine_virus_F,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Vitivirus,Grapevine virus F,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Vitivirus|Grapevine virus F
Tymo_YP_009094347_Asian_prunus_virus_1,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Foveavirus,Asian prunus virus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Foveavirus|Asian prunus virus 1
Tymo_YP_009204561_Asian_prunus_virus_2,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Foveavirus,Asian prunus virus 2,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Foveavirus|Asian prunus virus 2
UUB84586.1_Pineapple_vitivirus_A_Ananas_comosus_1515,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Vitivirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Vitivirus|
