Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
permutotetra-like_UXD79999.1_Lasius_neglectus_permutotetra-like_virus_1_Lasius_neglectus_1131,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_UHK03049.1_Guiyang_permutotetra-like_virus_2_Cletus_punctiger_1261,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_QGL51734.1_Vespa_velutina_associated_permutotetra-like_virus_1_Vespa_velutina_nigrithorax_1104,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_QGL51736.1_Vespa_velutina_associated_permutotetra-like_virus_2_Vespa_velutina_nigrithorax_1077,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_003038595.1_Drosophila_A_virus,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337276.1_Hubei_permutotetra-like_virus_11,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_add_YP_009182196.1_Daeseongdong_virus_2,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337318.1_Hubei_permutotetra-like_virus_6,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337742.1_Hubei_permutotetra-like_virus_5,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_APG76925.1_Shuangao_permutotetra-like_virus_1,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337778.1_Hubei_permutotetra-like_virus_9,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337703.1_Hubei_permutotetra-like_virus_8,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_QIJ56920.1_Scaphoideus_titanus_permutotetra-like_virus_1,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337667.1_Sanxia_water_strider_virus_19,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009665207.1_Thosea_asigna_virus,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,Alphapermutotetravirus,Thosea asigna virus,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae||Alphapermutotetravirus|Thosea asigna virus
permutotetra-like_add_NP_573541.1_Euprosterna_elaeasa_virus,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,Alphapermutotetravirus,Euprosterna elaeasa virus,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae||Alphapermutotetravirus|Euprosterna elaeasa virus
permutotetra-like_APG76963.1_Wuhan_house_centipede_virus_9,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337300.1_Hubei_permutotetra-like_virus_1,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337336.1_Hubei_permutotetra-like_virus_2,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337650.1_Sanxia_permutotetra-like_virus_1,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337623.1_Hubei_permutotetra-like_virus_3,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_add_AKH40283.1_Newfield_virus,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009553485.1_Shinobi_tetravirus,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337364.1_Hubei_permutotetra-like_virus_7,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337378.1_Hubei_permutotetra-like_virus_4,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_add_YP_009179352.1_Aphis_glycines_virus_2,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009329862.1_Beihai_permutotetra-like_virus_2,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337764.1_Hubei_permutotetra-like_virus_10,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
