Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
UVT84597.1_Botrytis_cinerea_fusarivirus_9_Botrytis_cinerea_1657,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
ULO04603.1_Corynespora_cassiicola_fusarivirus_1_Corynespora_cassiicola_1524,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
QJT73709.1_Botrytis_cinerea_hypovirus_4_Botrytis_cinerea_3345,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Thetahypovirus,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae||Thetahypovirus|
AZT88613.1_Setosphaeria_turcica_hypovirus_1_Exserohilum_turcicum_2751,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae||Betahypovirus|
AZT88659.1_Rutstroemia_firma_fusarivirus_1_Rutstroemia_firma_1558,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
YP_009222009.1_Alternaria_brassicicola_fusarivirus_1_1522,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
YP_009047147.1_Rosellinia_necatrix_fusarivirus_1_1542,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
BHNXC41400_Beihai_sipunculid_worm_virus_6,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
BHZC36965_Beihai_hypo-like_virus_1,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
WHZM10168_Wuhan_insect_virus_14,Hypoviridae,0,0,0,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,Hypo,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Hypoviridae|||
