Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
NP_694845_Lymphocytic_choriomeningitis_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus choriomeningitidis,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus choriomeningitidis
NP_694848_Tacaribe_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus tacaribeense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus tacaribeense
NP_694872_Lassa_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus lassaense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus lassaense
NP_899215_Machupo_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus machupoense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus machupoense
NP_899217_Junin_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus juninense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus juninense
NP_899221_Guanarito_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus guanaritoense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus guanaritoense
Rayfin_XYHYG11303_Wenling_frogfish_arenavirus_1_6537bp,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae|||
Rayfin_XYHYG24857_Wenling_frogfish_arenavirus_2_6425bp,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae|||
YP_001649212_Allpahuayo_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus allpahuayoense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus allpahuayoense
YP_001649214_Oliveros_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus oliverosense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus oliverosense
YP_001649216_Amapar_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus amapariense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus amapariense
YP_001649218_Cupixi_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus cupixiense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus cupixiense
YP_001649225_Bear_Canyon_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus bearense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus bearense
YP_001816785_Chapare_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus chapareense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus chapareense
YP_001911118_Tamiami_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus tamiamiense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus tamiamiense
YP_001911120_Whitewater_Arroyo_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus whitewaterense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus whitewaterense
YP_001936024_Flexal_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus flexalense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus flexalense
